ï»¿OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
21,Linn,LINN,12037,1607912596.83167,161628.711215893,14,1,,3,,,,,,,,,,,,5038654e-3f5a-4592-92fc-03034ec60ed3,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:17.612+00,mophep,,,,,,,,,,,
22,Livingston,LIVINGSTON,15146,1394059538.82983,171008.576484592,10,0,,1,,,,,,,,,,,,5225c9cb-ce1b-4ecb-947d-c86e848b1dd4,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:17.784+00,mophep,,,,,,,,,,,
23,Shelby,SHELBY,6050,1299836305.30664,154159.83478707,3,0,1,,,,,,,,,,,,,2d51e035-efb7-495b-a520-66c7a6088e16,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:17.958+00,mophep,,,,,,,,,,,
24,Marion,MARION,28592,1150654248.19434,152128.290799651,14,0,,,,,,,,,,,,,,f1c92389-2adb-4ffb-886e-4d52c4991c45,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:18.096+00,mophep,,,,,,,,,,,
25,Buchanan,BUCHANAN,88571,1074851030.37805,161287.603152585,827,3,6,8,,,,,,,,,,,,46d1c9ca-3c74-4e31-86c1-268ab824ff62,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:18.253+00,mophep,,,,,,,,,,,
26,Caldwell,CALDWELL,9108,1111991209.84412,134846.587083014,9,0,,1,,,,,,,,,,,,02ea3e56-d6b0-4b44-8462-acf850ec519c,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:18.393+00,mophep,,,,,,,,,,,
27,Clinton,CLINTON,20470,1096618946.37402,132334.798338683,23,0,0,8,,,,,,,,,,0,,49c69376-4575-441d-9b28-0916ed56e747,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:18.581+00,mophep,,,,,,,,,,,
28,Chariton,CHARITON,7451,1985128162.1825,232811.31004749,6,0,0,4,,,,,,,,,,,,159b88da-a9c9-46f4-9ac8-b87cb3a93c37,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:18.768+00,mophep,,,,,,,,,,,
29,Ralls,RALLS,10212,1251371924.15771,159363.675257247,9,0,1,,,,,,,,,,,,,657e0eb2-7352-4ffa-a9f8-4ae3dbe98ca5,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:18.940+00,mophep,,,,,,,,,,,
30,Monroe,MONROE,8664,1734313100.12061,172147.851354544,5,0,,,,,,,,,,,,,,18a7f44f-f717-471c-8f26-0b972f8899a1,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:19.096+00,mophep,,,,,,,,,,,
31,Carroll,CARROLL,8743,1815468589.2002,244814.324210419,11,0,,,,,,,,,,,,,,2863daf9-4f5e-4a96-8d01-aef8f387461c,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:19.268+00,mophep,,,,,,,,,,,
32,Pike,PIKE,18504,1780138268.08252,195251.902074169,36,1,1,1,,,,,,,,,,,,b2e7b646-fcb8-41c9-9160-deb9ddfb980c,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:19.440+00,mophep,,,,,,,,,,,
33,Randolph,RANDOLPH,24763,1262457788.96362,141305.24273246,12,0,,7,,,,,,,,,,,,69bc7639-ad7f-4943-a46d-4d28d677b90a,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:19.596+00,mophep,,,,,,,,,,,
34,Ray,RAY,22883,1486068035.16077,176426.842431227,25,0,1,6,,,,,,,,,,,,2007cb13-d3e4-47e7-b90a-9c372946d74e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:19.785+00,mophep,,,,,,,,,,,
35,Platte,PLATTE,53529,926000488.614136,220569.179808155,108,4,0,17,,,,,,,,,,,,89cb56e8-d925-440d-9a9f-32f662c9896e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:20.018+00,mophep,,,,,,,,,,,
36,Clay,CLAY,119905,823316735.705933,218676.094357256,386,8,0,37,,,,,,,,,,,,042cfe8c-1fed-4bc5-8c02-cb9f939fdbc0,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:20.175+00,mophep,,,,,,,,,,,
37,Audrain,AUDRAIN,25473,1803495861.10938,215641.901277976,137,1,,,,,,,,,,,,,,a7933392-083b-4c7b-8112-3c344f7a8407,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:20.331+00,mophep,,,,,,,,,,,
38,Saline,SALINE,22895,1984799150.30383,217275.868530419,282,4,,5,,,,,,,,,,,,b19785f1-4eee-4776-b3e3-f1eff53017f7,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:20.487+00,mophep,,,,,,,,,,,
39,Howard,HOWARD,10137,1219894205.92822,146479.290357848,5,0,,1,,,,,,,,,,,,12096404-81e7-445c-b4e7-5cb99d8d22b4,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:20.628+00,mophep,,,,,,,,,,,
40,Boone,BOONE,180005,1788327992.47876,222918.326778305,298,2,5,72,,,,,,,,,,,,adeb096a-35c4-4bfc-b331-f6e47ec78fc8,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:20.816+00,mophep,,,,,,,,,,,
41,Lincoln,LINCOLN,57686,1659094184.03247,199880.171936547,96,1,2,19,,,,,,,,,,,,ddbb19b5-cf11-417e-acfd-e9efb74d2c18,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:20.956+00,mophep,,,,,,,,,,,
42,Lafayette,LAFAYETTE,32598,1652845518.59363,208571.11918066,87,2,0,28,,,,,,,,,,,,0115479a-2e19-4c39-8175-bceddbcb8a1d,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:21.097+00,mophep,,,,,,,,,,,
43,Jackson,JACKSON,384506,1189079859.32495,267259.884544117,1074,23,10,154,,,,,,,,,,,,2e53b945-a2a0-47ce-a8d8-9151e6fef8a6,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:21.269+00,mophep,,,,,,,,,,,
44,Montgomery,MONTGOMERY,11534,1399964516.9375,165877.150034198,16,0,,5,,,,,,,,,,,,6c2d1c20-838d-4a6e-bc3c-7f64c870641e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:21.460+00,mophep,,,,,,,,,,,
45,Callaway,CALLAWAY,44889,2193239140.14453,222331.986866286,45,1,1,18,,,,,,,,,,,,445f5910-45ed-462b-b115-e61e0cc0fc5e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:21.612+00,mophep,,,,,,,,,,,
46,Warren,WARREN,34711,1133370402.96948,170081.832000215,37,0,,11,,,,,,,,,,,,62b6cd71-126c-4fc2-b8cb-cd752283c805,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:21.769+00,mophep,,,,,,,,,,,
47,Cooper,COOPER,17603,1472666259.05444,159185.565918979,14,0,,2,,,,,,,,,,,,455421ce-8a47-4a51-939a-baf9693d4e13,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:21.944+00,mophep,,,,,,,,,,,
48,St Charles,ST CHARLES,399182,1536953085.80835,260793.10259526,995,73,22,199,,,,,,,,,,,,aaedc19b-3e60-4dac-be48-9579ad30c381,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:22.274+00,mophep,,,,,,,,,,,
49,Johnson,JOHNSON,53652,2157075526.15857,191728.948832867,96,0,1,32,,,,,,,,,,,,54777609-14e7-486a-83c2-16968390459c,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:22.472+00,mophep,,,,,,,,,,,
50,Pettis,PETTIS,42542,1776168033.50159,173417.652915702,110,1,,3,,,,,,,,,,,,2fb9ea18-52db-4237-9fc1-6aaf3a929437,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:22.644+00,mophep,,,,,,,,,,,
51,St Louis,ST LOUIS,996945,1355116507.83667,221811.187015462,5837,557,56,1147,,,,,,,,,,,,230c1af1-6382-4660-ac3b-012922eb11f4,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:22.816+00,mophep,,,,,,,,,,,
52,Cass,CASS,104753,1815632661.64941,205920.227894331,120,8,3,22,,,,,,,,,,,,c176d2ab-9157-4f7e-a050-de1a5ee8752e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:23.081+00,mophep,,,,,,,,,,,
53,Moniteau,MONITEAU,16121,1083788576.41748,159159.023759893,49,1,,4,,,,,,,,,,,,6cb3184f-5fc8-47bf-b1b2-3d18602cea46,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:23.237+00,mophep,,,,,,,,,,,
54,St Louis City,ST LOUIS CITY,302838,171027518.520508,66609.1065710149,2252,151,19,380,,,,,,,,,,,,92d1d038-5948-4611-ad5b-77a6dacca014,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:23.394+00,mophep,,,,,,,,,,,
55,Osage,OSAGE,13714,1585668324.7019,186584.2594344,6,0,,4,,,,,,,,,,,,8cfaa4e5-1e55-4f0b-8839-6134ed9f7c84,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:23.597+00,mophep,,,,,,,,,,,
56,Gasconade,GASCONADE,14705,1361669506.41504,174005.906547163,7,0,,2,,,,,,,,,,,,864a67ba-7388-45d9-a632-451934916303,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:23.769+00,mophep,,,,,,,,,,,
57,Morgan,MORGAN,20358,1588178706.90955,190776.557623454,13,0,,1,,,,,,,,,,,,320a2ac5-1095-4e26-a315-51ae733f7912,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:23.940+00,mophep,,,,,,,,,,,
58,Cole,COLE,76796,1034375108.98291,170700.784420703,63,2,3,29,,,,,,,,,,,,bb130394-a77a-4cbb-80d2-e09be0d65d60,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:24.144+00,mophep,,,,,,,,,,,
59,Franklin,FRANKLIN,103670,2407053352.27393,228728.655726073,201,18,0,35,,,,,,,,,,,,9fb6e978-5b53-424d-9653-3879e8d74042,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:24.302+00,mophep,,,,,,,,,,,
60,Henry,HENRY,21792,1895385621.4303,179389.86324577,19,3,1,1,,,,,,,,,,,,4a34509b-d350-4193-b6e1-f78cd0194a3a,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:24.472+00,mophep,,,,,,,,,,,
61,Benton,BENTON,19278,1947407347.90955,186084.270609353,16,0,,3,,,,,,,,,,,,011476a7-16a2-447f-a010-d605f861522e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:24.644+00,mophep,,,,,,,,,,,
62,Jefferson,JEFFERSON,244347,1720703889.03833,205434.053097761,432,19,10,82,0,,,,,,,,,,,b03b363c-41da-4c84-b178-352a9b354a8e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:24.815+00,mophep,,,,,,,,,,,
