ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,11,2987,3,214,15,17,689,317,154,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,49,19827,3,1751,272,62,3312,1746,934,11,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,16,5332,1,406,41,28,1358,760,279,5,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,29,7631,1,489,52,31,1322,493,304,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,2,726,0,72,4,11,233,177,51,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,10,3043,0,136,13,7,391,251,66,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,31,18954,1,1812,249,46,2208,1067,569,20,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,17,2712,0,186,7,17,692,269,141,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,21,19056,4,1302,179,15,1009,575,253,8,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,1,1096,0,69,56,5,216,179,37,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,9,7773,1,553,44,24,1194,596,341,4,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,34,9404,2,734,98,53,1880,906,508,7,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,9,9781,3,922,73,50,1986,927,513,4,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,29,17030,2,1060,158,25,1308,766,393,15,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,2,812,0,72,5,6,185,114,60,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,20,4974,5,463,86,33,1060,686,295,8,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,1,1221,0,157,37,7,260,151,109,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,24,16460,0,1157,184,29,1487,738,475,11,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,1,1262,0,153,14,7,410,135,122,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,13,6875,1,664,154,42,1444,731,489,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,26,17005,4,1160,206,42,1722,889,511,8,1.62072838209013,0.0871537443231625
