County,Total Positive,Total Negative,Total Tested
Adams,0.0,17.0,17.0
Barnes,2.0,64.0,66.0
Benson,0.0,43.0,43.0
Billings,0.0,5.0,5.0
Bottineau,0.0,72.0,72.0
Bowman,1.0,160.0,161.0
Burke,2.0,20.0,22.0
Burleigh,51.0,1374.0,1425.0
Cass,116.0,2180.0,2296.0
Cavalier,0.0,19.0,19.0
Dickey,0.0,16.0,16.0
Divide,1.0,20.0,21.0
Dunn,3.0,41.0,44.0
Eddy,1.0,19.0,20.0
Emmons,1.0,33.0,34.0
Foster,1.0,20.0,21.0
Golden Valley,0.0,12.0,12.0
Grand Forks,11.0,868.0,879.0
Grant,1.0,15.0,16.0
Griggs,0.0,19.0,19.0
Hettinger,0.0,117.0,117.0
Kidder,0.0,15.0,15.0
LaMoure,0.0,29.0,29.0
Logan,0.0,22.0,22.0
McHenry,1.0,50.0,51.0
McIntosh,1.0,41.0,42.0
McKenzie,8.0,189.0,197.0
McLean,2.0,129.0,131.0
Mercer,0.0,85.0,85.0
Morton,20.0,501.0,521.0
Mountrail,27.0,275.0,302.0
Nelson,0.0,32.0,32.0
Oliver,1.0,11.0,12.0
Pembina,0.0,57.0,57.0
Pierce,2.0,35.0,37.0
Ramsey,3.0,124.0,127.0
Ransom,0.0,34.0,34.0
Renville,0.0,26.0,26.0
Richland,3.0,118.0,121.0
Rolette,1.0,90.0,91.0
Sargent,1.0,36.0,37.0
Sheridan,0.0,12.0,12.0
Sioux,1.0,46.0,47.0
Slope,3.0,125.0,128.0
Stark,34.0,835.0,869.0
Steele,0.0,9.0,9.0
Stutsman,1.0,212.0,213.0
Towner,0.0,24.0,24.0
Traill,0.0,63.0,63.0
Unknown,0.0,512.0,512.0
Walsh,3.0,143.0,146.0
Ward,20.0,1021.0,1041.0
Wells,0.0,26.0,26.0
Williams,8.0,389.0,397.0
