OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length
3485,Autauga,01001,East Central,6,0,0.150198352049983,2.1379328255407
3486,Baldwin,01003,Southwestern,15,0,0.400159431601878,6.69300034847276
3487,Barbour,01005,Southeastern,0,0,0.223267704174077,2.69097505269632
3488,Bibb,01007,West Central,0,0,0.156476914356972,1.8951692775798
3489,Blount,01009,Northeastern,5,0,0.164406638341006,2.45274784751908
3490,Bullock,01011,East Central,3,0,0.154671563531792,2.06480197165101
3491,Butler,01013,Southeastern,1,0,0.191776547733298,1.83587954870993
3492,Calhoun,01015,Northeastern,3,0,0.154366224232035,2.21070839394633
3493,Chambers,01017,East Central,27,1,0.150563980768084,1.72306516183319
3494,Cherokee,01019,Northeastern,2,0,0.151975822791428,1.89808177880757
3495,Chilton,01021,West Central,8,0,0.174837510280213,2.09165532433194
3496,Choctaw,01023,Southwestern,1,0,0.227681129400253,2.68700551554037
3497,Clarke,01025,Southwestern,0,0,0.308508819690587,3.78655552072513
3498,Clay,01027,Northeastern,2,0,0.151874743437702,2.02332180215824
3499,Cleburne,01029,Northeastern,5,0,0.141259985723536,2.17578212063938
3500,Coffee,01031,Southeastern,0,0,0.167143203828118,1.67989540600381
3501,Colbert,01033,Northern,2,0,0.15857369348987,2.31239229125845
3502,Conecuh,01035,Southwestern,0,0,0.209509978242295,2.59686142559656
3503,Coosa,01037,East Central,3,0,0.16640708911109,1.7505584986585
3504,Covington,01039,Southeastern,2,0,0.255971892285061,2.38709591035509
3505,Crenshaw,01041,Southeastern,1,0,0.150571897113878,2.31806123117494
3506,Cullman,01043,Northern,7,0,0.191087821164047,2.50218505547441
3507,Dale,01045,Southeastern,0,0,0.138259666605563,1.65151999951547
3508,Dallas,01047,Southwestern,2,0,0.246497505086154,3.13752996820932
3509,DeKalb,01049,Northeastern,4,0,0.197848401841384,2.21695752803772
3510,Elmore,01051,East Central,13,0,0.163505782545826,2.27519521591255
3511,Escambia,01053,Southwestern,1,0,0.233446648119298,2.50306921694382
3512,Etowah,01055,Northeastern,6,0,0.138757597037284,2.10053621990475
3513,Fayette,01057,West Central,0,0,0.158552104918499,1.83779224583562
3514,Franklin,01059,Northern,3,0,0.164243463038702,1.78358559509712
3515,Geneva,01061,Southeastern,0,0,0.141768015065281,1.83488097279248
3516,Greene,01063,West Central,3,0,0.164666965815741,3.57766804402764
3517,Hale,01065,West Central,0,0,0.163613340422671,2.4799010938001
3518,Henry,01067,Southeastern,0,0,0.139761467476774,1.63725823418183
3519,Houston,01069,Southeastern,8,0,0.142463779205855,2.10452810210549
3520,Jackson,01071,Northern,5,1,0.287410215888713,2.67694940746419
3521,Jefferson,01073,Jefferson,246,0,0.282606031405749,2.91318939557353
3522,Lamar,01075,West Central,1,0,0.15263540616661,1.64069081755141
3523,Lauderdale,01077,Northern,12,1,0.184043571131042,2.55716948814366
3524,Lawrence,01079,Northern,3,0,0.182392737623559,1.92975383451283
3525,Lee,01081,East Central,57,0,0.153274187500529,2.0496448391292
3526,Limestone,01083,Northern,16,0,0.155003206122046,1.71814668265853
3527,Lowndes,01085,East Central,1,0,0.179493868658938,2.34426217715912
3528,Macon,01087,East Central,1,0,0.152225727451423,2.0876916570357
3529,Madison,01089,Northern,80,1,0.207245811581288,2.4192510631746
3530,Marengo,01091,Southwestern,5,0,0.243586589216875,2.64368581241414
3531,Marion,01093,Northern,10,0,0.188224455607951,1.90243452461428
3532,Marshall,01095,Northern,5,0,0.158193819913322,2.22984018931076
3533,Mobile,01097,Mobile,41,0,0.307697348295278,4.83629332281426
3534,Monroe,01099,Southwestern,1,0,0.254517578378227,2.83753802882174
3535,Montgomery,01101,East Central,22,0,0.198182172648103,2.60770290702687
3536,Morgan,01103,Northern,17,0,0.152203319983528,1.80617511452274
3537,Perry,01105,West Central,0,0,0.18021159047953,2.14838023913143
3538,Pickens,01107,West Central,2,0,0.22311596802615,2.22345505777214
3539,Pike,01109,Southeastern,4,0,0.166038209106773,2.23104055343355
3540,Randolph,01111,Northeastern,2,0,0.14646191250813,1.58584516900329
3541,Russell,01113,East Central,1,0,0.160426072907967,2.13411394127528
3542,St. Clair,01115,Northeastern,13,0,0.164611790120262,2.46182521198285
3543,Shelby,01117,Northeastern,79,0,0.202879219246825,2.52559193618872
3544,Sumter,01119,West Central,0,0,0.227210820567734,3.07842876540608
3545,Talladega,01121,Northeastern,4,0,0.190828489604655,2.7296175303427
3546,Tallapoosa,01123,East Central,8,0,0.191182308914904,2.16459004269042
3547,Tuscaloosa,01125,West Central,23,0,0.338742577944004,2.90058009044742
3548,Walker,01127,West Central,30,0,0.20307720239839,2.39750884765462
3549,Washington,01129,Southwestern,4,0,0.26740407070929,2.63236527422465
3550,Wilcox,01131,Southwestern,2,0,0.224284362669096,2.68126387368409
3551,Winston,01133,Northern,2,0,0.159972008442992,1.68720534678178
