OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Shape__Area,Shape__Length
1,1,ATLANTIC,Atlantic County,South,1,ATLANTIC,10,132,0,1,17023851474.4613,650227.599305267
2,2,BERGEN,Bergen County,North,2,BERGEN,570,6862,11,200,6686009554.16296,443324.347929857
3,3,BURLINGTON,Burlington County,South,3,BURLINGTON,99,646,0 ,11,22869023171.602,788903.854872472
4,4,CAMDEN,Camden County,South,4,CAMDEN,90,645,0,8,6344509876.69253,495006.578775342
5,5,CAPE MAY,Cape May County,South,5,CAPE MAY,8,85,1,3,7976961326.18913,514564.340281693
6,6,CUMBERLAND,Cumberland County,South,6,CUMBERLAND,10,64,0 ,2,13989252050.4917,704221.618565244
7,7,ESSEX,Essex County,North,7,ESSEX,369,4493,14,186,3616983902.62894,344556.35202766
8,8,GLOUCESTER,Gloucester County,South,8,GLOUCESTER,30,279,0 ,3,9372629753.11616,560696.852574102
9,9,HUDSON,Hudson County,North,9,HUDSON,340,4395,5,92,1436707422.2616,381356.570662874
10,10,HUNTERDON,Hunterdon County,Central,10,HUNTERDON,21,211,0,2,12191752747.2279,561755.697692183
11,11,MERCER,Mercer County,Central,11,MERCER,71,740,3,19,6378548120.95474,484092.889323168
12,12,MONMOUTH,Monmouth County,Central,13,MONMOUTH,178,2545,4,62,13539886535.1187,733254.571341134
13,13,OCEAN,Ocean County,Central,15,OCEAN,187,2374,9,71,21129932138.2335,722804.02331507
14,14,PASSAIC,Passaic County,North,16,PASSAIC,419,3756,11,53,5528911617.80997,492850.74933723
15,15,SALEM,Salem County,South,17,SALEM,3,29,0 ,2,9677192466.65024,664540.959974652
16,16,SOMERSET,Somerset County,Central,18,SOMERSET,51,902,5,31,8499713898.79497,541586.643839565
17,17,SUSSEX,Sussex County,North,19,SUSSEX,24,292,2,11,14929294846.8201,525986.641842362
18,18,UNION,Union County,North,20,UNION,419,3685,7,78,2937613335.40103,321814.207050551
19,19,WARREN,Warren County,North,21,WARREN,19,215,1,7,10108546134.3227,554859.389116752
20,20,MORRIS,Morris County,North,14,MORRIS,122,1956,5,60,13420104286.1659,750263.075351202
21,21,MIDDLESEX,Middlesex County,Central,12,MIDDLESEX,299,3263,7,87,8836527089.15266,505626.0316389
