ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,Number_of_Facilities,Total_COVID_Cases_Reported_by_F,Total_COVID_Cases_Reported_by_1,Total_COVID_deaths_Reported_by_,Total_COVID_deaths_Reported_by1,SHAPE_Length,SHAPE_Area
1,1,ATLANTIC,Atlantic County,South,650227.599305,1,ATLANTIC,27,2750,2,190,17,674,299,146,1,2.05447812147641,0.16559498041373
2,2,BERGEN,Bergen County,North,443324.34793,2,BERGEN,28,19069,6,1706,63,3264,1712,915,11,1.39387886623887,0.0664519051933741
3,3,BURLINGTON,Burlington County,South,788903.854872,3,BURLINGTON,11,5056,1,372,28,1342,730,269,5,2.44002736600597,0.223724841246765
4,4,CAMDEN,Camden County,South,495006.578775,4,CAMDEN,19,7163,4,421,30,1287,473,293,3,1.5543030516609,0.0620009389436172
5,5,CAPE MAY,Cape May County,South,514564.340282,5,CAPE MAY,2,694,1,63,11,219,172,43,0,1.58994162990645,0.0772352247636285
6,6,CUMBERLAND,Cumberland County,South,704221.618565,6,CUMBERLAND,8,2894,2,126,7,383,238,61,1,2.21365547167372,0.135867606809924
7,7,ESSEX,Essex County,North,344556.352028,7,ESSEX,28,18592,3,1765,46,2171,1023,567,20,1.10531082341503,0.0358568237634079
8,8,GLOUCESTER,Gloucester County,South,560696.852574,8,GLOUCESTER,15,2489,1,172,17,523,255,120,3,1.80429807369917,0.0914749371966451
9,9,HUDSON,Hudson County,North,381356.570663,9,HUDSON,24,18773,3,1268,15,999,548,248,8,1.22502437377172,0.0142321908375888
10,10,HUNTERDON,Hunterdon County,Central,561755.697692,10,HUNTERDON,1,1062,0,67,5,214,174,37,2,1.78512935993174,0.120468851107817
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,12,7560,6,530,24,1178,586,336,3,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,37,8998,2,700,53,1848,876,495,7,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,31,9466,10,860,50,1993,1007,495,3,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,24,16794,4,1019,25,1272,757,381,15,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,1,752,2,67,6,184,110,56,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,5,4818,2,441,33,1035,659,290,8,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,1,1178,1,153,7,259,147,108,4,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,30,16341,3,1139,29,1469,723,472,11,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,1,1221,1,144,7,408,135,117,1,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,9,6727,0,642,42,1409,702,471,3,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,17,16640,3,1104,42,1692,851,502,8,1.62072838209013,0.0871537443231625
