ï»¿OBJECTID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,individuals_tested,SHAPE_Length,SHAPE_Area
33,94,19187,Webster,IA,226,125,2,2020/07/06 16:00:14,USA,36277,4552,1.89365250486713,0.203631378398526
34,10,19019,Buchanan,IA,54,36,1,2020/07/06 16:00:14,USA,21199,1994,1.66302867060044,0.162502933178709
35,7,19013,Black Hawk,IA,2293,1826,58,2020/07/06 16:00:14,USA,132408,16626,1.6690521466628,0.162374630605809
36,97,19193,Woodbury,IA,3247,3060,44,2020/07/06 16:00:14,USA,102539,16867,2.42636247129416,0.248549990860172
37,47,19093,Ida,IA,24,21,0,2020/07/06 16:00:14,USA,6841,691,1.53905385133514,0.122291609116611
38,81,19161,Sac,IA,64,51,0,2020/07/06 16:00:14,USA,9719,1282,1.76241111854249,0.163752090137135
39,13,19025,Calhoun,IA,50,25,2,2020/07/06 16:00:14,USA,9699,1136,1.73628628486417,0.161997583069679
40,40,19079,Hamilton,IA,188,167,1,2020/07/06 16:00:14,USA,14952,1992,1.71314143947394,0.163503770113021
41,42,19083,Hardin,IA,75,43,0,2020/07/06 16:00:14,USA,16868,1844,1.69000296456947,0.161385418032918
42,38,19075,Grundy,IA,39,23,0,2020/07/06 16:00:14,USA,12304,1207,1.67802338743871,0.142127445949025
43,49,19097,Jackson,IA,32,16,0,2020/07/06 16:00:14,USA,19432,1328,2.07834736694484,0.183296848633463
44,53,19105,Jones,IA,60,52,0,2020/07/06 16:00:14,USA,20744,1521,1.6299162569308,0.162684664504456
45,57,19113,Linn,IA,1288,1038,82,2020/07/06 16:00:14,USA,225909,21055,1.80674092166282,0.204193692873201
46,6,19011,Benton,IA,68,49,1,2020/07/06 16:00:14,USA,25642,2108,1.80588730837179,0.202483172750458
47,86,19171,Tama,IA,465,400,29,2020/07/06 16:00:14,USA,16904,2418,1.80688300401416,0.203440469857114
48,67,19133,Monona,IA,76,53,0,2020/07/06 16:00:14,USA,8679,928,2.12316354201373,0.196795369826852
49,24,19047,Crawford,IA,678,616,2,2020/07/06 16:00:14,USA,17158,2960,1.85534418535146,0.201377793645609
50,14,19027,Carroll,IA,99,73,1,2020/07/06 16:00:14,USA,20154,2033,1.6197601288418,0.160534308640552
51,37,19073,Greene,IA,29,21,0,2020/07/06 16:00:14,USA,8981,858,1.62157185711836,0.160866715753459
52,8,19015,Boone,IA,148,122,1,2020/07/06 16:00:14,USA,26346,2829,1.62489466407202,0.161510465217336
53,85,19169,Story,IA,778,357,3,2020/07/06 16:00:14,USA,98105,8553,1.62511481218105,0.161547069415365
54,64,19127,Marshall,IA,1048,934,19,2020/07/06 16:00:14,USA,39981,5976,1.62374952565441,0.161426130789666
55,23,19045,Clinton,IA,113,68,1,2020/07/06 16:00:14,USA,46518,3463,2.24361687413681,0.199530757525976
56,16,19031,Cedar,IA,84,65,1,2020/07/06 16:00:14,USA,18627,1697,1.63234594510688,0.163181818164524
57,43,19085,Harrison,IA,53,43,0,2020/07/06 16:00:14,USA,14134,1087,2.15390456644706,0.196078880287994
58,83,19165,Shelby,IA,113,95,0,2020/07/06 16:00:14,USA,11578,1096,1.74937315948455,0.165599269790057
59,5,19009,Audubon,IA,16,15,1,2020/07/06 16:00:14,USA,5506,496,1.50015453828969,0.124202963325951
60,39,19077,Guthrie,IA,66,58,4,2020/07/06 16:00:14,USA,10720,1038,1.72265090697959,0.16608372356967
61,52,19103,Johnson,IA,1304,761,8,2020/07/06 16:00:14,USA,151260,16595,1.84505285201909,0.174467390398262
62,25,19049,Dallas,IA,1284,1017,29,2020/07/06 16:00:14,USA,90180,10721,1.68881467047954,0.165695923991871
63,48,19095,Iowa,IA,51,40,0,2020/07/06 16:00:14,USA,16141,1768,1.64529790199185,0.164521602033462
64,77,19153,Polk,IA,6618,5116,179,2020/07/06 16:00:14,USA,487204,54448,1.79851653423037,0.165798164756224
65,79,19157,Poweshiek,IA,104,90,8,2020/07/06 16:00:14,USA,18699,1282,1.64560614400894,0.164235421919034
66,50,19099,Jasper,IA,325,272,17,2020/07/06 16:00:14,USA,37147,3247,1.89209025622817,0.205206542990887
67,82,19163,Scott,IA,808,545,10,2020/07/06 16:00:14,USA,173283,14564,1.9042879308868,0.131101028674465
68,70,19139,Muscatine,IA,641,544,44,2020/07/06 16:00:14,USA,42929,4635,1.6483485078502,0.125418794461856
69,78,19155,Pottawattamie,IA,730,632,12,2020/07/06 16:00:14,USA,93533,9898,2.6701405613069,0.26717770427194
70,15,19029,Cass,IA,22,18,0,2020/07/06 16:00:14,USA,12930,884,1.60199838221897,0.157431037196136
71,92,19183,Washington,IA,243,208,9,2020/07/06 16:00:14,USA,22141,2330,1.65656170409436,0.158972056822445
72,1,19001,Adair,IA,16,12,0,2020/07/06 16:00:14,USA,7063,474,1.61086976908435,0.158860246110915
73,54,19107,Keokuk,IA,21,17,1,2020/07/06 16:00:14,USA,10225,798,1.62594763010153,0.161616444275989
74,91,19181,Warren,IA,290,220,1,2020/07/06 16:00:14,USA,51056,4924,1.70656061378754,0.159602417083592
75,61,19121,Madison,IA,47,33,2,2020/07/06 16:00:14,USA,16249,1428,1.60028745529922,0.15659955195822
76,62,19123,Mahaska,IA,116,95,17,2020/07/06 16:00:14,USA,22000,1412,1.61487375875982,0.15983170541375
77,63,19125,Marion,IA,70,54,0,2020/07/06 16:00:14,USA,33407,2047,1.60953916629708,0.158906678664242
78,58,19115,Louisa,IA,362,338,13,2020/07/06 16:00:14,USA,11169,1462,1.75283719716366,0.11609984092493
79,65,19129,Mills,IA,37,33,0,2020/07/06 16:00:14,USA,15063,1981,1.5081338641808,0.122132457358878
80,69,19137,Montgomery,IA,10,8,2,2020/07/06 16:00:14,USA,10003,789,1.42941494131685,0.117877281210496
81,2,19003,Adams,IA,8,8,0,2020/07/06 16:00:14,USA,3645,274,1.4306796476061,0.11799264030139
82,44,19087,Henry,IA,86,76,3,2020/07/06 16:00:14,USA,20067,1735,1.39048367232224,0.120982880824429
83,51,19101,Jefferson,IA,64,51,0,2020/07/06 16:00:14,USA,18381,1293,1.44973415457871,0.121161607057882
84,88,19175,Union,IA,28,13,0,2020/07/06 16:00:14,USA,12359,1316,1.43050961959233,0.11811537729096
85,90,19179,Wapello,IA,708,661,30,2020/07/06 16:00:14,USA,35205,4250,1.44530198981096,0.120895576009114
86,20,19039,Clarke,IA,132,107,2,2020/07/06 16:00:14,USA,9423,1081,1.43809321574798,0.119709743384459
87,59,19117,Lucas,IA,31,24,4,2020/07/06 16:00:14,USA,8645,519,1.44258508735791,0.120474549754265
88,68,19135,Monroe,IA,51,45,6,2020/07/06 16:00:14,USA,7790,549,1.4424093876936,0.120378125777524
89,29,19057,Des Moines,IA,91,75,2,2020/07/06 16:00:14,USA,39138,2848,1.57405850996194,0.118960734514806
90,36,19071,Fremont,IA,7,5,0,2020/07/06 16:00:14,USA,6993,412,1.62288194461822,0.142660581927864
91,73,19145,Page,IA,20,20,0,2020/07/06 16:00:14,USA,15249,1213,1.59150363876605,0.147859442418914
92,87,19173,Taylor,IA,79,71,0,2020/07/06 16:00:14,USA,6191,664,1.57094727247982,0.147630696055921
93,80,19159,Ringgold,IA,15,11,0,2020/07/06 16:00:14,USA,4968,525,1.56326766465177,0.148728871032954
94,89,19177,Van Buren,IA,22,16,0,2020/07/06 16:00:14,USA,7020,448,1.53592818808525,0.135569861036805
95,26,19051,Davis,IA,41,34,1,2020/07/06 16:00:14,USA,9017,585,1.52608960383686,0.139392794520039
96,27,19053,Decatur,IA,11,10,0,2020/07/06 16:00:14,USA,7890,445,1.55809398057972,0.147367102513795
97,93,19185,Wayne,IA,10,6,0,2020/07/06 16:00:14,USA,6401,333,1.5512558166716,0.14558185877792
98,4,19007,Appanoose,IA,21,17,3,2020/07/06 16:00:14,USA,12437,890,1.54004938261221,0.142517166196449
99,56,19111,Lee,IA,54,39,2,2020/07/06 16:00:14,USA,34055,1973,2.02947882960938,0.148544768599951
100,,0,Pending Investigation,IA,19,3,0,2020/07/06 16:00:14,Unknown,,2999,0.0109425719999763,6.80092135452429e-06
